name,zoom,individualId,lat,lng,areaId,URL,notes,icon,whether,type
SAITAMAGUNMA,9,parent,36.242,139.382,,100000$110000,埼玉県群馬県
関東平野エリア,10,SAITAMA,35.999,139.655,SAITAMAGUNMA,x:0;y:1
群馬山間部エリア,10,GUNMA,36.166,139.111,SAITAMAGUNMA,x:0;y:0
高崎JCT周辺,13,L01,36.345126,139.084253,SAITAMAGUNMA_GUNMA,,群馬漁業協同組合,spot,,special
大沼湖,13,L02,36.554739,139.177465,SAITAMAGUNMA_GUNMA,,,spot,,assistant
秩父湖・もみじ湖,13,L03,35.954376,138.882208,SAITAMAGUNMA_GUNMA,,,spot,,special
上毛大橋周辺,13.5,L04,36.419606,139.038689,SAITAMAGUNMA_GUNMA,,群馬漁業協同組合,spot,,special
渡良瀬川,13.5,L05,36.395198,139.334014,SAITAMAGUNMA_GUNMA,,両毛漁業協同組合,spot,,special
入間川,13.5,L06,35.850048,139.375041,SAITAMAGUNMA_SAITAMA,,入間漁業協同組合,spot,,special$assistant
神流湖,13.5,L07,36.12535,139.001667,SAITAMAGUNMA_GUNMA,,,spot,,special
桐生川,14,L08,36.425643,139.35638,SAITAMAGUNMA_GUNMA,,両毛漁業協同組合,spot,,special
吉川美南周辺,14,L09,35.873749,139.861836,SAITAMAGUNMA_SAITAMA,,埼玉県東部漁業協同組合,spot
びん沼川,14,L10,35.882797,139.553103,SAITAMAGUNMA_SAITAMA,,埼玉県南部漁業協同組合,spot
越辺川・高麗川,14,L11,35.983908,139.398866,SAITAMAGUNMA_SAITAMA,,埼玉西武漁業協同組合,spot,,special
戸田橋周辺,14,L12,35.79909,139.674983,SAITAMAGUNMA_SAITAMA,,,spot
秩父さくら湖,14,L13,35.93806,139.059491,SAITAMAGUNMA_GUNMA,,,spot,,assistant
荒川,14.5,L14,36.137851,139.312499,SAITAMAGUNMA_GUNMA,,埼玉中央漁業協同組合,spot
神流川,14.5,L15,36.154413,139.05893,SAITAMAGUNMA_GUNMA,,神流川漁業協同組合,spot
八条用水周辺,14.5,L16,35.847443,139.825888,SAITAMAGUNMA_SAITAMA,,埼玉県東部漁業協同組合,spot
大久保浄水場周辺,14.5,L17,35.869626,139.5847,SAITAMAGUNMA_SAITAMA,,,spot
新古河駅周辺,14.5,L18,36.179946,139.680046,SAITAMAGUNMA_SAITAMA,,,spot,,special$substitute
大島新田調整池周辺,14.5,L19,36.047168,139.742437,SAITAMAGUNMA_SAITAMA,,,spot
中川橋周辺,14.5,L20,35.991016,139.789776,SAITAMAGUNMA_SAITAMA,,,spot
みさと公園,14.5,L21,35.78858,139.872134,SAITAMAGUNMA_SAITAMA,,,spot
榛名湖,14.5,L22,36.476251,138.867387,SAITAMAGUNMA_GUNMA,,,spot,,representative
梅田湖,14.5,L23,36.480442,139.41361,SAITAMAGUNMA_GUNMA,,,spot
名栗湖,14.5,L24,35.8744,139.170056,SAITAMAGUNMA_GUNMA,,,spot
清瀬金山緑地公園周辺,15,L25,35.791502,139.523041,SAITAMAGUNMA_SAITAMA,,埼玉県南部漁業協同組合,spot
清瀬内山運動公園周辺,15,L26,35.805529,139.53759,SAITAMAGUNMA_SAITAMA,,埼玉県南部漁業協同組合,spot
入間市駅周辺,15,L27,35.839178,139.385026,SAITAMAGUNMA_SAITAMA,,入間漁業協同組合,spot
朝霧水門周辺,15,L28,35.812316,139.615824,SAITAMAGUNMA_SAITAMA,,,spot,,assistant
笹目橋周辺,15,L29,35.802536,139.642432,SAITAMAGUNMA_SAITAMA,,,spot
深作川調整池,15,L30,35.947124,139.676464,SAITAMAGUNMA_SAITAMA,,,spot
共和橋周辺,15,L31,35.824357,139.852202,SAITAMAGUNMA_SAITAMA,,,spot
円良田湖,15,L32,36.13219,139.168131,SAITAMAGUNMA_GUNMA,,,spot
合角ダム湖,15,L33,36.054341,138.964155,SAITAMAGUNMA_GUNMA,,,spot
近藤沼,15,L34,36.226929,139.501455,SAITAMAGUNMA_SAITAMA,,,spot
越生駅周辺,15.5,L35,35.964644,139.299435,SAITAMAGUNMA_GUNMA,,埼玉西武漁業協同組合,spot
成木川,15.5,L36,35.838468,139.320221,SAITAMAGUNMA_GUNMA,,入間漁業協同組合,spot
小川町駅周辺,15.5,L37,36.054534,139.261685,SAITAMAGUNMA_GUNMA,,武蔵漁業協同組合,spot
水郷公園,15.5,L38,36.21604,139.600313,SAITAMAGUNMA_SAITAMA,,邑楽漁業協同組合,spot
浦和美園駅周辺,15.5,L39,35.903384,139.736717,SAITAMAGUNMA_SAITAMA,,,spot
越谷公園周辺水路,15.5,L40,35.883941,139.764786,SAITAMAGUNMA_SAITAMA,,,spot
間瀬湖,15.5,L41,36.160076,139.107468,SAITAMAGUNMA_GUNMA,,,spot
竹沼湖,15.5,L42,36.234791,139.020466,SAITAMAGUNMA_GUNMA,,,spot
黒目川,16,L43,35.813672,139.59206,SAITAMAGUNMA_SAITAMA,,埼玉県南部漁業協同組合,spot
鳥羽井沼自然公園,16,L44,36.005837,139.486552,SAITAMAGUNMA_SAITAMA,,,spot,,special
大落古利根川,16,L45,35.977572,139.773978,SAITAMAGUNMA_SAITAMA,,,spot,,representative
鮎川湖,16,L46,36.213155,139.036868,SAITAMAGUNMA_GUNMA,,,spot
鳴沢湖,16,L47,36.391549,138.94524,SAITAMAGUNMA_GUNMA,,,spot
三名湖,16,L48,36.215124,139.042486,SAITAMAGUNMA_GUNMA,,,spot
鎌北湖,16,L49,35.917068,139.289442,SAITAMAGUNMA_GUNMA,,,spot
大塩湖,16,L50,36.22262,138.877026,SAITAMAGUNMA_GUNMA,,,spot
いろは親水公園,16.5,L51,35.836044,139.580975,SAITAMAGUNMA_SAITAMA,,埼玉県南部漁業協同組合,spot
諏訪沼周辺,16.5,L52,36.025417,139.437045,SAITAMAGUNMA_SAITAMA,,,spot
城山公園,16.5,L53,35.991725,139.524092,SAITAMAGUNMA_SAITAMA,,,spot
秋ヶ瀬取水堰,16.5,L54,35.837432,139.605661,SAITAMAGUNMA_SAITAMA,,,spot
八間堀,16.5,L55,35.937114,139.830948,SAITAMAGUNMA_SAITAMA,,,spot
箕和田湖,17,L56,35.962699,139.318362,SAITAMAGUNMA_GUNMA,,,spot
