group,name,lat,lng,notes,icon,areaId
DAISO,高萩安良川店,36.7069,140.70592,茨城県高萩市安良川774-3,shop4,IBARAKI_HITACHI
DAISO,ベイシア高萩モール店,36.72902,140.71553,茨城県高萩市下手綱1058,shop4,IBARAKI_HITACHI
DAISO,ヨークタウン坂東店,36.03764,139.89012,茨城県坂東市辺田1104-1ダイソー棟,shop4,IBARAKI_TSUKUBA
DAISO,茨城岩瀬店,36.36541,140.10826,茨城県桜川市明日香1-37,shop4,IBARAKI_TSUKUBA
DAISO,マルヘイ鹿嶋宮津台店,35.98422,140.64053,茨城県鹿嶋市宮津台4765-6,shop4,IBARAKI_KASUMIGAURA
DAISO,茨城鹿嶋店,35.96478,140.6245,茨城県鹿嶋市城山2丁目3番5号,shop4,IBARAKI_KASUMIGAURA
DAISO,ヨークタウン取手店,35.91719,140.00145,茨城県取手市戸頭1118-1,shop4,IBARAKI_TSUKUBA
DAISO,ジェーソン新取手店,35.91631,140.04323,茨城県取手市寺田4659ジェーソン新取手店2階,shop4,IBARAKI_TSUKUBA
DAISO,リボンとりで店,35.89618,140.06227,茨城県取手市新町1-9-1リボンとりで店4階,shop4,IBARAKI_TSUKUBA
DAISO,カスミ取手店,35.89029,140.07892,茨城県取手市青柳385 カスミ取手店内,shop4,IBARAKI_TSUKUBA
DAISO,カスミ藤代店,35.92062,140.11342,茨城県取手市藤代641 カスミ藤代店内,shop4,IBARAKI_TSUKUBA
DAISO,ヤオコー藤代町店,35.91689,140.11751,茨城県取手市藤代南二丁目16番地2,shop4,IBARAKI_TSUKUBA
DAISO,カスミ守谷テラス店,35.96777,139.97476,茨城県守谷市久保が丘2-1-1守谷テラス1階,shop4,IBARAKI_TSUKUBA
DAISO,イオンタウン守谷店,35.9454,139.99208,茨城県守谷市百合ヶ丘3丁目249-1イオンタウン守谷店2階,shop4,IBARAKI_TSUKUBA
DAISO,小美玉羽鳥店,36.25365,140.29001,茨城県小美玉市羽鳥2738-68 ダイソー店内,shop4,IBARAKI_KASUMIGAURA
DAISO,小川ショッピングプラザ店,36.19234,140.37994,茨城県小美玉市野田字御用山354-1ダイソーB棟,shop4,IBARAKI_KASUMIGAURA
DAISO,ジェーソン石下店,36.10603,139.98624,茨城県常総市新石下字八反田1779ジェーソン石下店内,shop4,IBARAKI_TSUKUBA
DAISO,水海道店,36.01632,139.99406,茨城県常総市水海道淵頭町4550-1 2階,shop4,IBARAKI_TSUKUBA
DAISO,フォレストモール常陸太田店,36.54148,140.52383,茨城県常陸太田市東部土地区画整理事業地内1街区1画地,shop4,IBARAKI_HITACHI
DAISO,常陸太田スクエア店,36.54242,140.53015,茨城県常陸太田市塙町2954伊勢甚太田スクエア内,shop4,IBARAKI_HITACHI
DAISO,常陸大宮店,36.56067,140.40663,茨城県常陸大宮市姥賀町564-1,shop4,IBARAKI_HITACHI
DAISO,オークビレッジかみす店,35.89846,140.63583,茨城県神栖市大野原4-8-71-1,shop4,IBARAKI_KASUMIGAURA
DAISO,波崎店,35.76744,140.79848,茨城県神栖市波崎7651,shop4,IBARAKI_KASUMIGAURA
DAISO,神栖平泉店,35.91064,140.63506,茨城県神栖市平泉255-12,shop4,IBARAKI_KASUMIGAURA
DAISO,水戸けやき台店,36.33579,140.48865,茨城県水戸市けやき台2-3,shop4,IBARAKI_KASUMIGAURA
DAISO,水戸見和店,36.37412,140.43048,茨城県水戸市見和2丁目232-45,shop4,IBARAKI_KASUMIGAURA
DAISO,コープ水戸元吉田店,36.34168,140.46439,茨城県水戸市元吉田町1048-1コープ水戸店内,shop4,IBARAKI_KASUMIGAURA
DAISO,ヨークタウン水戸元吉田店,36.34942,140.47517,茨城県水戸市元吉田町字岡崎1030番12,shop4,IBARAKI_KASUMIGAURA
DAISO,ヨークベニマル水戸笠原店,36.3424,140.43584,茨城県水戸市小吹町2582-2ヨークベニマル水戸笠原店1階,shop4,IBARAKI_KASUMIGAURA
DAISO,MEGAドン・キホーテ上水戸店,36.38983,140.44559,茨城県水戸市上水戸2-9-10MEGAドン・キホーテ上水戸2階,shop4,IBARAKI_KASUMIGAURA
DAISO,水戸千波ショッピングプラザ店,36.36454,140.45003,茨城県水戸市千波町千波山2467-3外千波ショッピングプラザプラザ内,shop4,IBARAKI_KASUMIGAURA
DAISO,イオンモール水戸内原店,36.37456,140.35884,茨城県水戸市内原2丁目1番地イオンモール水戸内原店3階,shop4,IBARAKI_KASUMIGAURA
DAISO,ヨークタウン水戸赤塚店,36.38153,140.41751,茨城県水戸市姫子2丁目30,shop4,IBARAKI_KASUMIGAURA
DAISO,フォレストモール石岡店,36.20417,140.2894,茨城県石岡市石岡12886,shop4,IBARAKI_KASUMIGAURA
DAISO,ウェルサイト石岡店,36.19669,140.31102,茨城県石岡市東大橋1937-1,shop4,IBARAKI_KASUMIGAURA
DAISO,下館玉戸店,36.29583,139.94019,茨城県筑西市玉戸山ヶ島1018,shop4,IBARAKI_TSUKUBA
DAISO,潮来店,35.95187,140.56932,茨城県潮来市曲松2740-1,shop4,IBARAKI_KASUMIGAURA
DAISO,イオンモール土浦店,36.08086,140.17955,茨城県土浦市上高津367イオンモール土浦店1階,shop4,IBARAKI_KASUMIGAURA
DAISO,新治SCさん・あぴお店,36.11988,140.17523,茨城県土浦市大畑1611新治SCさんあぴお店2階,shop4,IBARAKI_KASUMIGAURA
DAISO,カスミ土浦駅前店,36.07801,140.20352,茨城県土浦市大和町9-1カスミ土浦駅前店地下1階,shop4,IBARAKI_KASUMIGAURA
DAISO,土浦高津店,36.07135,140.18349,茨城県土浦市中高津2-237-1,shop4,IBARAKI_KASUMIGAURA
DAISO,土浦木田余SM店,36.10754,140.21352,茨城県土浦市木田余4580-3土浦木田余SM内,shop4,IBARAKI_KASUMIGAURA
DAISO,土浦蓮河原店,36.07242,140.20573,茨城県土浦市蓮河原新町2-4181 2階,shop4,IBARAKI_KASUMIGAURA
