name,zoom,individualId,lat,lng,areaId,URL,notes,icon
CHIBA,9,parent,35.4,140.3,,,,
内房エリア,10,UCHIBOU,35.665,140.115,CHIBA,x:0;y:1,,
南房総エリア,10,MINAMI,35.172,140,CHIBA,x:0;y:0,,
外房エリア,10,SOTOBOU,35.36,140.296,CHIBA,x:1;y:0,,
銚子九十九里エリア,10,CHOUSHI,35.725,140.645,CHIBA,x:1;y:1,,
飯岡漁港,15,1,35.690764,140.731924,CHIBA_CHOUSHI,,,spot
銚子漁港,15,2,35.738604,140.866978,CHIBA_CHOUSHI,,,spot
片貝漁港,15,3,35.536696,140.460098,CHIBA_CHOUSHI,,,spot
栗山川河口,16,4,35.609668,140.532764,CHIBA_CHOUSHI,,,spot
波崎新港,15,5,35.75076,140.842216,CHIBA_CHOUSHI,,,spot
外川漁港,16,6,35.695505,140.85184,CHIBA_CHOUSHI,,,spot
銚子マリーナ・犬若堤防,15,7,35.702927,140.839384,CHIBA_CHOUSHI,,,spot
フィッシングクラブジョイバレー,,8,35.75242,140.41437,CHIBA_CHOUSHI,http://www.joyvalley.co.jp/,千葉県山武郡芝山町大里486-1,fish3
釣パラダイス,,9,35.6583,140.33856,CHIBA_CHOUSHI,https://www.tsuripara.com/,千葉県山武市大木470-1,fish3
長熊釣堀センター,,10,35.75064,140.59494,CHIBA_CHOUSHI,https://www.city.asahi.lg.jp/soshiki/14/2367.html,千葉県旭市萬力3566-1,fish4
九十九里海釣りセンター,,11,35.51452,140.43793,CHIBA_CHOUSHI,http://xn--nbk4em1stb5747d2j8b.com/,千葉県山武郡九十九里町細屋敷663-5,fish1
道の駅くりもとニジマス釣り,,12,35.80646,140.47009,CHIBA_CHOUSHI,https://www.benikomachi.jp/park,千葉県香取市沢1372-1,fish3
道の口沼,,13,35.682453,140.551342,CHIBA_CHOUSHI,,千葉県匝瑳市高801-6,fish4
白子漁港,17,1,34.985689,139.971029,CHIBA_MINAMI,,,spot
太海港,17,2,35.077388,140.102071,CHIBA_MINAMI,,,spot
小正月港,18,3,35.068972,140.082553,CHIBA_MINAMI,,,spot
太夫崎漁港,17,4,35.061872,140.077513,CHIBA_MINAMI,,,spot
江見港,17,5,35.058245,140.061699,CHIBA_MINAMI,,,spot
和田港・小浦港,16,6,35.035478,140.014497,CHIBA_MINAMI,,,spot
平舘港・千倉港,15,7,34.956588,139.962881,CHIBA_MINAMI,,,spot
七浦漁港,18,8,34.931845,139.954075,CHIBA_MINAMI,,,spot
乙浜漁港,16,9,34.911203,139.927078,CHIBA_MINAMI,,,spot
原港・名倉港,17,10,34.906865,139.909778,CHIBA_MINAMI,,,spot
川下港,18,11,34.903425,139.871409,CHIBA_MINAMI,,,spot
根本港,18,12,34.903799,139.841175,CHIBA_MINAMI,,,spot
伊戸港,18,13,34.954891,139.771636,CHIBA_MINAMI,,,spot
川名漁港,18,14,34.961859,139.758086,CHIBA_MINAMI,,,spot
洲崎西港,18,15,34.969645,139.75447,CHIBA_MINAMI,,,spot
洲崎北港,18,16,34.976036,139.761004,CHIBA_MINAMI,,,spot
坂田漁港,18,17,34.977078,139.774903,CHIBA_MINAMI,,,spot
見物堤防,18,18,34.974243,139.792762,CHIBA_MINAMI,,,spot
下原漁港,17,19,34.977689,139.806749,CHIBA_MINAMI,,,spot
大賀堤防,18,20,34.981768,139.822679,CHIBA_MINAMI,,,spot
北条桟橋,18,21,34.994513,139.856099,CHIBA_MINAMI,,,spot
沖ノ島護岸,16,22,34.991912,139.833008,CHIBA_MINAMI,,,spot
館山港・築港堤防,16,23,34.98887,139.850925,CHIBA_MINAMI,,,spot
西浜突堤,17,24,35.032451,139.828407,CHIBA_MINAMI,,,spot
富浦新港,17,25,35.039519,139.821995,CHIBA_MINAMI,,,spot
富浦旧港,18,26,35.049313,139.831155,CHIBA_MINAMI,,,spot
岩井袋港,17,27,35.101513,139.827756,CHIBA_MINAMI,,,spot
勝山港,16,28,35.112535,139.825455,CHIBA_MINAMI,,,spot
龍島港・大六港,16,29,35.120786,139.830669,CHIBA_MINAMI,,,spot
高崎港・小浦港,16,30,35.080935,139.83848,CHIBA_MINAMI,,,spot
保田港,16,31,35.131263,139.837471,CHIBA_MINAMI,,,spot
元名港,18,32,35.14685,139.830339,CHIBA_MINAMI,,,spot
荻生港・新田浦港,17,33,35.198578,139.825965,CHIBA_MINAMI,,,spot
竹岡漁港,17,34,35.209528,139.844128,CHIBA_MINAMI,,,spot
大貫港,16,35,35.277522,139.849659,CHIBA_MINAMI,,,spot
下洲港,15,36,35.301572,139.821818,CHIBA_MINAMI,,,spot
鴨川フィッシャリーナ・鴨川漁港,15,37,35.094946,140.107677,CHIBA_MINAMI,,,spot
野島東港・野島西港,17,38,34.903548,139.888514,CHIBA_MINAMI,,,spot
相浜港・布良港,16,39,34.921972,139.824232,CHIBA_MINAMI,,,spot
香谷堤防・塩見堤防,16,40,34.979518,139.814855,CHIBA_MINAMI,,,spot
船方港・丸山堤防,15,41,35.025498,139.843748,CHIBA_MINAMI,,,spot
金谷漁港・フェリー乗り場,15,42,35.16809,139.81817,CHIBA_MINAMI,,,spot
富津岬,15,43,35.315895,139.790447,CHIBA_MINAMI,,,spot
富津北港・富津みなと公園,15,44,35.32259,139.818256,CHIBA_MINAMI,,,spot
大川港・白間漁港,16,45,34.926193,139.944888,CHIBA_MINAMI,,,spot
磯源フィッシングパーク,,46,35.27114,140.01186,CHIBA_MINAMI,https://www.instagram.com/isogen_fishingpark?igshid=YmMyMTA2M2Y%3D,千葉県君津市大野台420-2,fish3
釣り堀 亀山園,,47,35.22886,140.082968,CHIBA_MINAMI,,千葉県君津市豊田30,fish4
太海フラワー磯釣りセンター,,48,35.076664,140.097672,CHIBA_MINAMI,,千葉県鴨川市太海浜67,fish1
晴れパークたてやま,,49,35.027179,139.862213,CHIBA_MINAMI,,千葉県館山市那古521,fish1
戸面原ダムボートセンター,,50,35.17753,139.97017,CHIBA_MINAMI,,千葉県富津市豊岡2874-1,fish6
豊英湖つり舟センター,,51,35.17666,140.01189,CHIBA_MINAMI,,千葉県君津市豊英499-8,fish6
房総ロッヂ釣りセンター,,52,35.21609,140.03392,CHIBA_MINAMI,,千葉県君津市正木454-2,fish6
三島湖 ともゑ釣舟店,,53,35.21609,140.03392,CHIBA_MINAMI,,千葉県君津市正木325,fish6
石井釣舟店,,54,35.21609,140.03392,CHIBA_MINAMI,,千葉県君津市正木391-1,fish6
渡辺釣舟店,,55,35.21609,140.03392,CHIBA_MINAMI,,千葉県君津市正木628,fish6
レンタルボートもとよし,,56,35.20139,140.07439,CHIBA_MINAMI,,千葉県君津市笹1897-12,fish6
レンタルボートすずき,,57,35.20139,140.07439,CHIBA_MINAMI,,千葉県君津市笹1743-49,fish6
レンタルボート笹川,,58,35.20139,140.07439,CHIBA_MINAMI,,千葉県君津市笹1743-28,fish6
小櫃川漁協亀山水産センター,,59,35.22941,140.08351,CHIBA_MINAMI,,千葉県君津市豊田旧菅間田60-1,fish6
ボートハウス松下,,60,35.22129,140.07951,CHIBA_MINAMI,,千葉県君津市川俣旧月毛161-2,fish6
トキタボート,,61,35.21503,140.08195,CHIBA_MINAMI,,千葉県君津市川俣旧川俣33-10,fish6
のむらボートハウス,,62,35.21903,140.09406,CHIBA_MINAMI,,千葉県君津市草川原396-1,fish6
浜荻港,17,1,35.118303,140.143978,CHIBA_SOTOBOU,,,spot
天津漁港,16,2,35.122646,140.161031,CHIBA_SOTOBOU,,,spot
小湊港,17,3,35.119794,140.195294,CHIBA_SOTOBOU,,,spot
太東港,17,4,35.329831,140.401792,CHIBA_SOTOBOU,,,spot
大原港,16,5,35.254468,140.40449,CHIBA_SOTOBOU,,,spot
岩船港,17,6,35.208924,140.392919,CHIBA_SOTOBOU,,,spot
岩和田港,17,7,35.179561,140.365904,CHIBA_SOTOBOU,,,spot
御宿漁港,17,8,35.17893,140.348856,CHIBA_SOTOBOU,,,spot
新官港・豊浜港,17,9,35.155109,140.330874,CHIBA_SOTOBOU,,,spot
川津港,16,10,35.144776,140.326642,CHIBA_SOTOBOU,,,spot
勝浦漁港,16,11,35.146336,140.309926,CHIBA_SOTOBOU,,,spot
勝場港・長入港,17,12,35.133756,140.27929,CHIBA_SOTOBOU,,,spot
守谷漁港,18,13,35.13619,140.257084,CHIBA_SOTOBOU,,,spot
